zcta area pop
1020 15.99 2806.0
1021 25.99 1040.0
1022 0.18 173.0
1023 34.77 1898.0
1024 0.18 64.0
1025 14.97 12390.0
1026 51.13 5368.0
1027 107.21 24931.0
1028 24.82 1023.0
1029 47.05 1123.0
1030 54.9 6423.0
1031 42.46 4488.0
1032 15.31 2393.0
1033 70.56 6735.0
1034 38.92 9866.0
1035 28.06 3631.0
1036 28.96 1169.0
1037 23.57 4871.0
1038 58.0 1809.0
1039 43.01 4409.0
1040 0.2 168.0
1041 7.96 22156.0
1042 15.06 30124.0
1043 48.53 2606.0
1044 39.11 2508.0
1045 0.06 85.0
1046 0.34 326.0
1047 47.25 15567.0
1048 29.17 6175.0
1049 24.57 2338.0
1050 26.61 1700.0
1051 20.25 1973.0
1052 0.52 287.0
1053 62.89 6356.0
1054 0.46 224.0
1055 1.32 3457.0
1056 0.81 188.0
1057 102.49 6382.0
1058 17.1 2328.0
1059 18.7 1174.0
1060 2.37 314.0
1061 4.69 124.0
1062 100.77 37205.0
1063 52.93 3895.0
1064 23.73 4244.0
1065 0.08 119.0
1066 31.94 6617.0
1067 18.64 534.0
1068 0.04 61.0
1069 52.27 4488.0
1070 13.1 596.0
1071 70.53 6451.0
1072 43.2 2873.0
1073 38.43 1531.0
1074 16.69 1926.0
1075 54.38 2443.0
1076 35.89 1281.0
1077 60.06 10750.0
1078 64.66 7941.0
1079 0.89 399.0
1080 20.45 663.0
1081 29.97 2000.0
1082 0.55 695.0
1083 71.36 1855.0
1084 78.1 5184.0
1085 21.28 2027.0
1086 1.76 385.0
1087 0.53 339.0
1088 10.73 2338.0
1089 67.98 10741.0
1090 40.82 5610.0
1091 34.13 3342.0
1092 1.0 5438.0
1093 1.7 16029.0
1094 4.41 19931.0
1095 3.45 19201.0
1096 3.95 16443.0
1097 3.09 13897.0
1098 4.17 22854.0
1099 12.72 13243.0
1100 4.57 27606.0
1101 4.71 6517.0
1102 10.59 20356.0
1103 3.66 8793.0
1104 33.94 15245.0
1105 4.96 15363.0
1106 2.98 8891.0
1107 2.44 98.0
1108 44.16 1610.0
1109 35.39 1153.0
1110 17.39 1684.0
1111 0.96 293.0
1112 38.65 3625.0
1113 145.46 5889.0
1114 7.58 624.0
1115 63.74 331.0
1116 2.25 526.0
1117 3.88 443.0
1118 49.1 1419.0
1119 162.24 6460.0
1120 46.12 3784.0
1121 25.38 1325.0
